EmployeeNumber,Age,Gender,Department,JobRole,BusinessTravel,EducationField,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,Attrition,Age_Group,Salary_Category,Attrition_Flag
18,34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,2661,2,1,2,4,2,3,No,30-40,"Low Salary",0
19,28,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",2028,4,0,3,3,3,3,Yes,"Under 30","Low Salary",1
20,29,Female,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",9980,10,8,8,1,2,3,No,"Under 30","Medium Salary",0
21,32,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",3298,6,0,5,2,1,2,No,30-40,"Low Salary",0
22,22,Male,"Research & Development","Laboratory Technician",Non-Travel,Medical,2935,1,0,0,4,4,2,No,"Under 30","Low Salary",0
23,53,Female,Sales,Manager,Travel_Rarely,"Life Sciences",15427,25,3,7,4,1,3,No,40+,"High Salary",0
24,38,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",3944,3,1,2,4,4,3,No,30-40,"Low Salary",0
26,24,Female,"Research & Development","Manufacturing Director",Non-Travel,Other,4011,4,1,3,3,1,2,No,"Under 30","Low Salary",0
27,36,Male,Sales,"Sales Representative",Travel_Rarely,"Life Sciences",3407,5,0,3,1,3,3,Yes,30-40,"Low Salary",1
28,34,Female,"Research & Development","Research Director",Travel_Rarely,"Life Sciences",11994,12,2,11,2,1,3,No,30-40,"High Salary",0
30,21,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",1232,0,0,0,4,3,3,No,"Under 30","Low Salary",0
31,34,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,2960,4,1,3,1,2,3,Yes,30-40,"Low Salary",1
32,53,Female,"Research & Development",Manager,Travel_Rarely,Other,19094,14,4,8,3,3,2,No,40+,"High Salary",0
33,32,Female,"Research & Development","Research Scientist",Travel_Frequently,"Life Sciences",3919,10,6,7,1,2,3,Yes,30-40,"Low Salary",1
35,42,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,6825,9,4,2,2,3,3,No,40+,"Medium Salary",0
36,44,Female,"Research & Development","Healthcare Representative",Travel_Rarely,Medical,10248,22,5,17,4,1,3,No,40+,"High Salary",0
38,46,Female,Sales,Manager,Travel_Rarely,Marketing,18947,2,2,1,1,2,2,No,40+,"High Salary",0
39,33,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,2496,1,0,0,4,3,3,No,30-40,"Low Salary",0
40,44,Male,"Research & Development","Healthcare Representative",Travel_Rarely,Other,6465,4,1,3,4,4,4,No,40+,"Medium Salary",0
41,30,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,2206,10,1,8,3,4,3,No,30-40,"Low Salary",0
42,39,Male,Sales,"Sales Representative",Travel_Rarely,"Technical Degree",2086,1,0,0,4,4,4,Yes,30-40,"Low Salary",1
45,24,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,2293,2,2,0,4,2,2,Yes,"Under 30","Low Salary",1
46,43,Female,"Research & Development","Research Scientist",Travel_Rarely,Medical,2645,5,1,4,3,4,2,No,40+,"Low Salary",0
47,50,Male,Sales,"Sales Representative",Travel_Rarely,Marketing,2683,3,0,2,3,1,3,Yes,40+,"Low Salary",1
49,35,Female,Sales,"Sales Representative",Travel_Rarely,Marketing,2014,2,2,2,4,4,3,No,30-40,"Low Salary",0
51,36,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",3419,1,0,0,1,2,4,No,30-40,"Low Salary",0
52,33,Female,Sales,"Sales Executive",Travel_Frequently,"Life Sciences",5376,5,1,3,1,3,3,No,30-40,"Medium Salary",0
53,35,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Other,1951,1,0,0,4,3,3,No,30-40,"Low Salary",0
54,27,Female,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",2341,1,0,0,1,4,3,No,"Under 30","Low Salary",0
55,26,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",2293,1,0,1,3,1,2,Yes,"Under 30","Low Salary",1
56,27,Male,Sales,"Sales Executive",Travel_Frequently,"Life Sciences",8726,9,1,7,3,4,3,No,"Under 30","Medium Salary",0
57,30,Female,"Research & Development","Laboratory Technician",Travel_Frequently,Medical,4011,12,3,7,4,3,3,No,30-40,"Low Salary",0
58,41,Female,"Research & Development","Research Director",Travel_Rarely,"Technical Degree",19545,22,15,8,3,2,3,Yes,40+,"High Salary",1
60,34,Male,Sales,"Sales Executive",Non-Travel,Marketing,4568,9,8,7,3,2,3,No,30-40,"Low Salary",0
61,37,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",3022,1,0,0,2,2,3,No,30-40,"Low Salary",0
62,46,Male,Sales,"Sales Executive",Travel_Frequently,Marketing,5772,9,0,8,4,1,3,No,40+,"Medium Salary",0
63,35,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",2269,1,0,1,4,4,3,No,30-40,"Low Salary",0
64,48,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",5381,1,0,0,3,1,3,Yes,40+,"Medium Salary",1
65,28,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Technical Degree",3441,2,2,2,3,3,2,Yes,"Under 30","Low Salary",1
68,44,Female,Sales,"Sales Executive",Travel_Rarely,Marketing,5454,4,1,3,1,2,2,No,40+,"Medium Salary",0
70,35,Male,"Research & Development","Healthcare Representative",Non-Travel,Medical,9884,4,2,3,1,3,3,No,30-40,"Medium Salary",0
72,26,Female,Sales,"Sales Executive",Travel_Rarely,Marketing,4157,2,0,0,4,3,2,No,"Under 30","Low Salary",0
73,33,Female,"Research & Development","Research Director",Travel_Frequently,"Life Sciences",13458,15,8,12,4,1,3,No,30-40,"High Salary",0
74,35,Male,Sales,"Sales Executive",Travel_Frequently,"Life Sciences",9069,9,1,8,1,2,2,No,30-40,"Medium Salary",0
75,35,Female,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,4014,2,2,2,1,3,3,No,30-40,"Low Salary",0
76,31,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",5915,7,1,7,4,4,2,No,30-40,"Medium Salary",0
77,37,Male,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",5993,7,0,7,3,1,4,No,30-40,"Medium Salary",0
78,32,Male,"Research & Development","Manufacturing Director",Travel_Rarely,Medical,6162,9,7,8,4,1,3,No,30-40,"Medium Salary",0
79,38,Female,"Research & Development","Laboratory Technician",Travel_Frequently,"Life Sciences",2406,10,9,9,4,4,3,No,30-40,"Low Salary",0
80,50,Female,"Research & Development","Research Director",Travel_Rarely,Medical,18740,27,13,8,3,2,2,No,40+,"High Salary",0
81,59,Female,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",7637,21,7,9,1,1,2,No,40+,"Medium Salary",0
83,36,Female,"Research & Development","Healthcare Representative",Travel_Rarely,"Technical Degree",10096,17,12,8,3,3,3,No,30-40,"High Salary",0
84,55,Female,"Research & Development",Manager,Travel_Rarely,Medical,14756,5,0,2,3,4,3,No,40+,"High Salary",0
85,36,Male,"Research & Development","Manufacturing Director",Travel_Frequently,"Life Sciences",6499,6,0,3,2,2,3,No,30-40,"Medium Salary",0
86,45,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",9724,1,0,0,1,2,3,No,40+,"Medium Salary",0
88,35,Male,"Research & Development","Research Scientist",Travel_Frequently,Medical,2194,3,1,2,1,2,2,No,30-40,"Low Salary",0
90,36,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,3388,1,0,0,3,4,2,Yes,30-40,"Low Salary",1
91,59,Female,Sales,"Sales Executive",Travel_Frequently,"Life Sciences",5473,4,1,3,3,1,2,No,40+,"Medium Salary",0
94,29,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2703,5,0,4,2,3,3,No,"Under 30","Low Salary",0
95,31,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,2501,1,1,0,2,3,3,No,30-40,"Low Salary",0
96,32,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",6220,10,0,9,2,2,3,No,30-40,"Medium Salary",0
97,36,Female,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",3038,1,0,0,4,2,3,No,30-40,"Low Salary",0
98,31,Female,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",4424,11,1,8,4,3,3,No,30-40,"Low Salary",0
100,35,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,4312,15,2,8,1,3,3,No,30-40,"Low Salary",0
101,45,Male,"Research & Development","Research Director",Travel_Rarely,Other,13245,0,0,0,1,4,4,No,40+,"High Salary",0
102,37,Male,"Research & Development","Research Director",Travel_Rarely,Medical,13664,5,0,2,3,1,4,No,30-40,"High Salary",0
103,46,Male,"Human Resources","Human Resources",Travel_Rarely,Medical,5021,4,0,2,2,2,3,No,40+,"Medium Salary",0
104,30,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",5126,10,3,0,4,4,2,No,30-40,"Medium Salary",0
105,35,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,2859,6,0,4,3,2,3,No,30-40,"Low Salary",0
106,55,Male,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",10239,1,1,0,4,1,3,No,40+,"High Salary",0
107,38,Female,"Research & Development","Research Scientist",Non-Travel,Medical,5329,13,1,9,4,2,3,No,30-40,"Medium Salary",0
110,34,Male,"Research & Development","Manufacturing Director",Travel_Rarely,Medical,4325,5,1,3,2,1,3,No,30-40,"Low Salary",0
112,56,Male,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",7260,6,0,2,4,4,2,No,40+,"Medium Salary",0
113,23,Male,Sales,"Sales Representative",Travel_Rarely,"Technical Degree",2322,0,0,0,1,3,3,No,"Under 30","Low Salary",0
116,51,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",2075,4,0,3,4,4,3,No,40+,"Low Salary",0
117,30,Male,"Research & Development","Healthcare Representative",Travel_Rarely,"Life Sciences",4152,11,10,8,4,3,3,No,30-40,"Low Salary",0
118,46,Male,Sales,"Sales Executive",Travel_Rarely,Medical,9619,9,4,7,4,3,3,Yes,40+,"Medium Salary",1
119,40,Male,"Research & Development","Healthcare Representative",Travel_Frequently,"Life Sciences",13503,22,11,11,2,3,2,No,30-40,"High Salary",0
120,51,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,5441,10,1,0,4,3,1,No,40+,"Medium Salary",0
121,30,Female,Sales,"Sales Executive",Travel_Rarely,Medical,5209,11,2,7,2,3,2,No,30-40,"Medium Salary",0
124,46,Male,"Research & Development","Healthcare Representative",Travel_Frequently,Medical,10673,10,9,5,1,3,2,No,40+,"High Salary",0
125,32,Male,Sales,"Sales Executive",Travel_Rarely,Medical,5010,11,5,7,3,2,3,No,30-40,"Medium Salary",0
126,54,Female,"Research & Development","Research Director",Travel_Rarely,"Technical Degree",13549,4,0,3,3,1,1,No,40+,"High Salary",0
128,24,Female,Sales,"Sales Executive",Travel_Rarely,Other,4999,3,0,2,3,1,2,No,"Under 30","Low Salary",0
129,28,Male,Sales,"Sales Executive",Non-Travel,Medical,4221,5,0,4,3,2,4,No,"Under 30","Low Salary",0
131,58,Male,Sales,"Sales Executive",Travel_Rarely,Medical,13872,37,1,8,3,4,2,No,40+,"High Salary",0
132,44,Male,"Research & Development","Laboratory Technician",Non-Travel,Medical,2042,3,1,2,2,2,4,No,40+,"Low Salary",0
133,37,Male,"Human Resources","Human Resources",Travel_Rarely,"Human Resources",2073,3,0,2,1,3,3,Yes,30-40,"Low Salary",1
134,32,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2956,1,0,0,1,4,3,No,30-40,"Low Salary",0
137,20,Female,"Research & Development","Laboratory Technician",Travel_Frequently,"Life Sciences",2926,1,1,0,4,4,3,Yes,"Under 30","Low Salary",1
138,34,Female,"Research & Development","Research Scientist",Travel_Rarely,Other,4809,16,2,10,3,1,3,No,30-40,"Low Salary",0
139,37,Male,"Research & Development","Healthcare Representative",Non-Travel,"Life Sciences",5163,1,0,0,4,3,4,No,30-40,"Medium Salary",0
140,59,Female,"Human Resources",Manager,Non-Travel,"Human Resources",18844,3,2,2,4,3,3,No,40+,"High Salary",0
141,50,Female,"Research & Development","Research Director",Travel_Frequently,"Life Sciences",18172,8,0,7,2,1,2,No,40+,"High Salary",0
142,25,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,5744,6,0,3,3,3,3,Yes,"Under 30","Medium Salary",1
143,25,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,2889,2,2,1,4,4,3,No,"Under 30","Low Salary",0
144,22,Female,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,2871,0,0,0,4,2,3,No,"Under 30","Low Salary",0
145,51,Female,"Research & Development","Healthcare Representative",Travel_Frequently,Medical,7484,13,12,8,1,1,2,No,40+,"Medium Salary",0
147,34,Male,"Research & Development","Laboratory Technician",Travel_Frequently,"Life Sciences",6074,9,0,6,3,1,3,Yes,30-40,"Medium Salary",1
148,54,Female,"Human Resources",Manager,Non-Travel,"Human Resources",17328,5,4,4,4,4,3,No,40+,"High Salary",0
150,24,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",2774,5,1,2,3,2,3,No,"Under 30","Low Salary",0
151,34,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",4505,1,0,0,2,3,3,No,30-40,"Low Salary",0
152,37,Male,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",7428,5,1,3,4,3,3,No,30-40,"Medium Salary",0
153,34,Female,"Research & Development",Manager,Travel_Rarely,Medical,11631,11,5,8,1,3,3,No,30-40,"High Salary",0
154,36,Female,Sales,"Sales Executive",Travel_Frequently,"Technical Degree",9738,9,2,8,4,2,3,No,30-40,"Medium Salary",0
155,36,Female,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",2835,1,0,0,4,1,3,No,30-40,"Low Salary",0
158,43,Male,Sales,Manager,Travel_Frequently,"Life Sciences",16959,25,4,12,4,3,4,No,40+,"High Salary",0
159,30,Male,"Research & Development","Research Scientist",Travel_Frequently,"Life Sciences",2613,10,0,9,3,1,2,No,30-40,"Low Salary",0
160,33,Male,Sales,"Sales Executive",Non-Travel,Marketing,6146,7,0,7,2,3,4,No,30-40,"Medium Salary",0
161,56,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",4963,5,4,3,2,2,3,Yes,40+,"Low Salary",1
162,51,Male,"Research & Development","Research Director",Travel_Rarely,"Life Sciences",19537,20,15,15,3,1,3,No,40+,"High Salary",0
163,31,Male,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",6172,7,7,7,3,2,2,Yes,30-40,"Medium Salary",1
164,26,Female,"Research & Development","Research Scientist",Travel_Rarely,Other,2368,5,4,3,2,3,2,No,"Under 30","Low Salary",0
165,58,Female,"Research & Development","Healthcare Representative",Travel_Rarely,Medical,10312,40,15,6,4,4,2,Yes,40+,"High Salary",1
167,19,Male,Sales,"Sales Representative",Travel_Rarely,Marketing,1675,0,0,0,3,4,2,Yes,"Under 30","Low Salary",1
169,22,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Technical Degree",2523,2,2,1,4,3,3,No,"Under 30","Low Salary",0
170,49,Female,"Research & Development","Manufacturing Director",Travel_Rarely,Medical,6567,15,5,11,1,3,2,No,40+,"Medium Salary",0
171,43,Female,"Research & Development","Research Scientist",Travel_Frequently,Medical,4739,3,1,2,3,2,3,No,40+,"Low Salary",0
174,50,Female,Sales,"Sales Executive",Travel_Frequently,Marketing,9208,2,2,1,4,3,3,No,40+,"Medium Salary",0
175,31,Female,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",4559,2,2,2,3,2,3,Yes,30-40,"Low Salary",1
176,41,Male,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",8189,9,0,7,3,3,3,No,40+,"Medium Salary",0
177,26,Female,"Human Resources","Human Resources",Travel_Rarely,"Life Sciences",2942,8,5,7,3,3,3,No,"Under 30","Low Salary",0
178,36,Male,"Research & Development","Manufacturing Director",Travel_Rarely,Medical,4941,3,0,1,2,2,3,No,30-40,"Low Salary",0
179,51,Male,"Research & Development","Manufacturing Director",Travel_Frequently,"Life Sciences",10650,4,0,3,4,1,3,Yes,40+,"High Salary",1
182,39,Female,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",5902,15,5,9,3,4,4,No,30-40,"Medium Salary",0
183,25,Male,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",8639,2,2,2,3,1,3,No,"Under 30","Medium Salary",0
184,30,Male,"Human Resources","Human Resources",Travel_Rarely,"Human Resources",6347,11,4,7,4,3,1,No,30-40,"Medium Salary",0
190,32,Female,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,4200,5,0,4,1,1,4,Yes,30-40,"Low Salary",1
192,45,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,3452,6,0,3,4,3,2,No,40+,"Low Salary",0
193,38,Female,"Research & Development","Research Scientist",Travel_Rarely,"Technical Degree",4317,3,2,2,3,4,3,No,30-40,"Low Salary",0
194,30,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2632,5,0,4,3,1,2,No,30-40,"Low Salary",0
195,32,Male,Sales,"Sales Executive",Travel_Frequently,Medical,4668,8,0,7,4,4,4,No,30-40,"Low Salary",0
197,30,Female,"Research & Development","Research Scientist",Travel_Rarely,"Technical Degree",3204,3,2,2,1,4,3,No,30-40,"Low Salary",0
198,30,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,2720,5,1,2,4,2,3,No,30-40,"Low Salary",0
199,41,Male,"Research & Development",Manager,Travel_Frequently,"Life Sciences",17181,7,7,7,1,4,2,No,40+,"High Salary",0
200,41,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",2238,5,1,4,1,3,3,No,40+,"Low Salary",0
201,19,Female,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,1483,1,0,0,2,2,3,No,"Under 30","Low Salary",0
202,40,Female,"Research & Development","Research Scientist",Travel_Frequently,Medical,5605,20,2,13,2,2,3,No,30-40,"Medium Salary",0
204,35,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,7295,10,0,6,2,3,3,No,30-40,"Medium Salary",0
205,53,Male,Sales,"Sales Representative",Travel_Rarely,Marketing,2306,7,4,5,3,2,1,No,40+,"Low Salary",0
206,45,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",2348,17,0,15,2,2,1,No,40+,"Low Salary",0
207,32,Female,Sales,"Sales Executive",Travel_Frequently,Marketing,8998,9,3,7,4,2,3,No,30-40,"Medium Salary",0
208,29,Male,"Research & Development","Manufacturing Director",Non-Travel,"Technical Degree",4319,10,0,9,3,4,3,No,"Under 30","Low Salary",0
211,51,Male,"Research & Development","Manufacturing Director",Travel_Rarely,Medical,6132,1,0,0,3,2,3,No,40+,"Medium Salary",0
214,58,Female,"Research & Development","Research Scientist",Travel_Rarely,Medical,3346,1,0,0,2,2,2,No,40+,"Low Salary",0
215,40,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,10855,12,2,11,4,3,2,No,30-40,"High Salary",0
216,34,Female,Sales,"Sales Representative",Travel_Frequently,Marketing,2231,4,1,2,3,3,3,No,30-40,"Low Salary",0
217,22,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,2323,2,2,2,4,3,3,No,"Under 30","Low Salary",0
218,27,Male,"Research & Development","Research Scientist",Non-Travel,Medical,2024,2,2,2,2,4,1,No,"Under 30","Low Salary",0
221,28,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,2713,5,0,2,4,3,1,No,"Under 30","Low Salary",0
223,57,Male,"Research & Development","Healthcare Representative",Travel_Rarely,"Life Sciences",9439,5,1,4,4,3,1,No,40+,"Medium Salary",0
224,27,Male,"Research & Development","Research Scientist",Non-Travel,Medical,2566,1,0,1,3,3,2,No,"Under 30","Low Salary",0
226,50,Female,"Research & Development",Manager,Travel_Rarely,"Life Sciences",19926,5,4,4,2,3,3,No,40+,"High Salary",0
227,41,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2451,9,1,8,3,1,3,No,40+,"Low Salary",0
228,30,Female,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",9419,10,7,4,4,2,3,No,30-40,"Medium Salary",0
230,38,Female,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",8686,8,0,7,4,1,4,No,30-40,"Medium Salary",0
231,32,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",3038,5,1,4,3,3,3,No,30-40,"Low Salary",0
233,27,Male,"Research & Development","Research Scientist",Travel_Rarely,"Technical Degree",3058,5,1,1,2,3,2,No,"Under 30","Low Salary",0
235,19,Female,Sales,"Sales Representative",Travel_Frequently,"Technical Degree",2325,0,0,0,1,3,4,Yes,"Under 30","Low Salary",1
238,36,Male,"Research & Development","Laboratory Technician",Travel_Frequently,Medical,2088,8,7,2,2,4,2,No,30-40,"Low Salary",0
239,30,Male,"Research & Development","Laboratory Technician",Non-Travel,Medical,3072,12,6,10,1,3,3,No,30-40,"Low Salary",0
240,45,Female,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",5006,5,0,3,1,3,4,No,40+,"Medium Salary",0
241,56,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",4257,2,2,2,1,3,3,No,40+,"Low Salary",0
242,33,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2500,3,0,2,4,3,4,No,30-40,"Low Salary",0
243,19,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",1102,1,1,0,4,2,2,Yes,"Under 30","Low Salary",1
244,46,Female,Sales,"Sales Executive",Travel_Rarely,Marketing,10453,24,15,7,1,2,3,No,40+,"High Salary",0
245,38,Female,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",2288,2,2,1,4,3,3,No,30-40,"Low Salary",0
246,31,Female,"Research & Development","Research Scientist",Travel_Rarely,Medical,3929,4,0,2,4,3,3,No,30-40,"Low Salary",0
247,34,Female,"Research & Development","Research Scientist",Travel_Rarely,Medical,2311,3,1,2,2,4,3,No,30-40,"Low Salary",0
248,41,Female,Sales,"Sales Representative",Travel_Rarely,Marketing,3140,4,0,2,2,2,2,Yes,40+,"Low Salary",1
249,50,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,3690,3,0,2,3,3,2,No,40+,"Low Salary",0
250,53,Female,"Research & Development","Manufacturing Director",Travel_Rarely,Medical,4450,4,1,3,1,4,3,No,40+,"Low Salary",0
252,33,Female,"Research & Development","Research Scientist",Travel_Rarely,Medical,2756,8,1,6,2,4,3,No,30-40,"Low Salary",0
253,40,Female,"Research & Development",Manager,Travel_Rarely,Medical,19033,20,9,9,3,4,3,No,30-40,"High Salary",0
254,55,Male,"Research & Development","Research Director",Travel_Rarely,Medical,18722,24,2,15,2,3,3,No,40+,"High Salary",0
256,34,Male,"Research & Development","Manufacturing Director",Travel_Frequently,"Life Sciences",9547,10,1,9,3,4,2,No,30-40,"Medium Salary",0
258,51,Female,"Research & Development","Healthcare Representative",Travel_Rarely,Medical,13734,7,1,0,2,4,3,No,40+,"High Salary",0
259,52,Male,"Research & Development",Manager,Travel_Rarely,"Life Sciences",19999,33,11,9,3,3,3,No,40+,"High Salary",0
260,27,Female,"Research & Development","Research Scientist",Travel_Rarely,Medical,2279,7,0,3,2,4,2,No,"Under 30","Low Salary",0
261,35,Male,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",5916,1,0,1,3,2,3,Yes,30-40,"Medium Salary",1
262,43,Male,"Research & Development","Research Scientist",Non-Travel,Medical,2089,5,2,2,4,4,4,No,40+,"Low Salary",0
264,45,Male,"Research & Development",Manager,Non-Travel,Medical,16792,20,11,8,4,1,3,No,40+,"High Salary",0
267,37,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",3564,8,1,7,1,2,2,No,30-40,"Low Salary",0
269,35,Female,"Research & Development","Laboratory Technician",Travel_Frequently,Medical,4425,6,1,2,2,2,3,No,30-40,"Low Salary",0
270,42,Female,"Research & Development","Manufacturing Director",Non-Travel,Medical,5265,5,0,2,3,3,3,No,40+,"Medium Salary",0
271,38,Male,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",6553,1,0,0,3,4,3,No,30-40,"Medium Salary",0
273,38,Male,"Research & Development","Manufacturing Director",Travel_Rarely,"Technical Degree",6261,7,1,7,4,4,1,No,30-40,"Medium Salary",0
274,27,Male,"Research & Development","Manufacturing Director",Travel_Frequently,"Technical Degree",4298,2,2,0,1,3,3,No,"Under 30","Low Salary",0
275,49,Male,"Research & Development","Manufacturing Director",Non-Travel,"Life Sciences",6804,7,1,7,4,4,3,No,40+,"Medium Salary",0
277,34,Male,"Research & Development","Research Scientist",Travel_Frequently,Medical,3815,5,2,0,3,4,4,No,30-40,"Low Salary",0
281,40,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,2741,7,3,7,4,3,4,No,30-40,"Low Salary",0
282,38,Male,"Research & Development","Healthcare Representative",Travel_Rarely,Medical,6673,1,0,0,1,2,3,Yes,30-40,"Medium Salary",1
283,29,Female,Sales,"Sales Executive",Travel_Rarely,Marketing,7639,10,1,9,4,2,2,Yes,"Under 30","Medium Salary",1
284,22,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2328,4,2,2,2,4,2,No,"Under 30","Low Salary",0
